0,1,2
1031.112503,330.18893425,0
330.18893425,333.35585775000004,0
333.35585775000004,330.49800125,0
330.49800125,327.69769275,0
327.69769275,317.46621700000003,1
317.46621700000003,313.2632675,0
313.2632675,312.80906675,0
312.80906675,315.34659575,1
315.34659575,312.7202225,0
312.7202225,315.092598,0
315.092598,314.77227025,1
314.77227025,319.44570150000004,1
319.44570150000004,293.9464495,1
293.9464495,293.21070875,0
293.21070875,291.9081575,0
291.9081575,286.79804975,1
286.79804975,285.17391975000004,1
285.17391975000004,287.83908825000003,0
287.83908825000003,288.93142725,0
288.93142725,290.57306675000007,0
290.57306675000007,291.592842,0
291.592842,292.60134875000006,0
292.60134875000006,296.81056200000006,0
296.81056200000006,301.4189225,0
301.4189225,303.687439,0
303.687439,304.62712875000005,0
304.62712875000005,306.17868050000004,0
306.17868050000004,303.54354075,0
303.54354075,306.12612175,0
306.12612175,305.06256099999996,0
305.06256099999996,304.55204,0
304.55204,302.28728475,0
302.28728475,302.75775150000004,1
302.75775150000004,305.13388075,0
305.13388075,305.72947675,0
305.72947675,302.97797375000005,0
302.97797375000005,304.60585000000003,1
304.60585000000003,304.46946725000004,0
304.46946725000004,307.287285,0
307.287285,310.05380225,0
310.05380225,311.3751295,0
311.3751295,311.2575075,0
311.2575075,308.87762449999997,0
308.87762449999997,302.25975800000003,0
302.25975800000003,304.41692350000005,0
304.41692350000005,304.68343350000004,0
304.68343350000004,302.8153075,0
302.8153075,301.727974,0
301.727974,306.5477905000001,0
306.5477905000001,308.71246325000004,0
308.71246325000004,309.81732175,0
309.81732175,311.79805,0
311.79805,314.76601425,0
314.76601425,316.2837905,0
316.2837905,319.63087475000003,0
319.63087475000003,320.86462375,0
320.86462375,322.6464005,0
322.6464005,323.24324025,0
323.24324025,324.36811825,0
324.36811825,327.51001725000003,0
327.51001725000003,325.66817475000005,0
325.66817475000005,323.758766,0
323.758766,321.575325,0
321.575325,322.14964275,0
322.14964275,318.28078450000004,1
318.28078450000004,316.51151275,0
316.51151275,315.30780775000005,0
315.30780775000005,315.2439955,0
315.2439955,317.4712295,1
317.4712295,323.66867049999996,1
323.66867049999996,318.40340425,1
318.40340425,307.12462600000003,0
307.12462600000003,305.65940850000004,0
305.65940850000004,304.19293225,1
304.19293225,302.83409125,0
302.83409125,300.9246825,1
300.9246825,297.691437,0
297.691437,300.7332385,0
300.7332385,303.79754649999995,1
