Date,Mean,Company
2012-08-06,88.57035825000001,AAPL
2012-08-07,88.811428,AAPL
2012-08-08,88.57964325000002,AAPL
2012-08-09,88.50392725,AAPL
2012-08-10,88.602501,AAPL
2012-08-13,89.5228575,AAPL
2012-08-14,90.44214425000001,AAPL
2012-08-15,90.13857074999999,AAPL
2012-08-16,90.52892875,AAPL
2012-08-17,91.96821424999999,AAPL
2012-08-20,93.93607325,AAPL
2012-08-21,94.71750075,AAPL
2012-08-22,94.29999900000001,AAPL
2012-08-23,94.99249825,AAPL
2012-08-24,94.56285675000001,AAPL
2012-08-27,96.78857024999999,AAPL
2012-08-28,96.30535725000001,AAPL
2012-08-29,96.3925,AAPL
2012-08-30,95.31821450000001,AAPL
2012-08-31,94.9407135,AAPL
2012-09-04,95.727501,AAPL
2012-09-05,96.13393025,AAPL
2012-09-06,96.376074,AAPL
2012-09-07,97.02643,AAPL
2012-09-10,96.02071375,AAPL
2012-09-11,94.7250005,AAPL
2012-09-12,95.09071349999999,AAPL
2012-09-13,97.165001,AAPL
2012-09-14,98.78964250000001,AAPL
2012-09-17,99.76928725,AAPL
2012-09-18,100.01928525,AAPL
2012-09-19,100.21142775,AAPL
2012-09-20,99.69785499999999,AAPL
2012-09-21,100.2474995,AAPL
2012-09-24,98.4203565,AAPL
2012-09-25,97.41357425000001,AAPL
2012-09-26,95.27892875,AAPL
2012-09-27,96.0046445,AAPL
2012-09-28,96.20393,AAPL
2012-10-01,95.13571350000001,AAPL
2012-10-02,94.28999925,AAPL
2012-10-03,95.38571525,AAPL
2012-10-04,95.6375005,AAPL
2012-10-05,94.10964375,AAPL
2012-10-08,91.73999975,AAPL
2012-10-09,90.6621455,AAPL
2012-10-10,91.52249900000001,AAPL
2012-10-11,91.06785599999999,AAPL
2012-10-12,89.9982145,AAPL
2012-10-15,90.21750050000001,AAPL
2012-10-16,91.6592865,AAPL
2012-10-17,92.50964350000001,AAPL
2012-10-18,90.86750049999999,AAPL
2012-10-19,88.65285699999998,AAPL
2012-10-22,89.0210705,AAPL
2012-10-23,88.927143,AAPL
2012-10-24,88.40928425,AAPL
2012-10-25,87.75321199999999,AAPL
2012-10-26,86.3725015,AAPL
2012-10-31,84.995001,AAPL
2012-11-01,85.426073,AAPL
2012-11-02,83.7282145,AAPL
2012-11-05,83.3396415,AAPL
2012-11-06,83.71107099999999,AAPL
2012-11-07,80.7903575,AAPL
2012-11-08,78.424999,AAPL
2012-11-09,77.717142,AAPL
2012-11-12,78.2189275,AAPL
2012-11-13,77.45178575,AAPL
2012-11-14,77.35750225,AAPL
2012-11-15,75.90250025,AAPL
2012-11-16,74.59392925,AAPL
2012-11-19,79.06500050000001,AAPL
2012-11-20,80.69107249999999,AAPL
2012-11-21,80.35428425,AAPL
2012-11-23,81.188215,AAPL
2012-11-26,83.18357275,AAPL
2012-11-27,83.74464225,AAPL
2012-11-28,82.79535675,AAPL
2012-11-29,84.25285724999999,AAPL
2012-11-30,83.6839275,AAPL
2012-12-03,84.28321625,AAPL
2012-12-04,82.55642875,AAPL
2012-12-05,79.13285625,AAPL
2012-12-06,76.71857075,AAPL
2012-12-07,77.56607249999999,AAPL
2012-12-10,75.53249925,AAPL
2012-12-11,77.43178575000002,AAPL
2012-12-12,77.53714175,AAPL
2012-12-13,75.86714349999998,AAPL
2012-12-14,73.151785,AAPL
2012-12-17,73.17821300000001,AAPL
2012-12-18,75.50178525000001,AAPL
2012-12-19,75.606428,AAPL
2012-12-20,75.02893075,AAPL
2012-12-21,73.6324995,AAPL
2012-12-24,74.40999975,AAPL
2012-12-26,73.663572,AAPL
2012-12-27,73.196785,AAPL
2012-12-28,72.94571524999999,AAPL
2012-12-31,74.53928575,AAPL
2013-01-02,78.5528565,AAPL
2013-01-03,77.88035574999999,AAPL
2013-01-04,76.015356,AAPL
2013-01-07,74.65714225,AAPL
2013-01-08,75.27357099999999,AAPL
2013-01-09,74.307144,AAPL
2013-01-10,74.867855,AAPL
2013-01-11,74.4871445,AAPL
2013-01-14,71.80143000000001,AAPL
2013-01-15,70.23535724999999,AAPL
2013-01-16,71.52392774999998,AAPL
2013-01-17,72.3489305,AAPL
2013-01-18,71.3264275,AAPL
2013-01-22,71.9228575,AAPL
2013-01-23,72.9492855,AAPL
2013-01-24,65.23142825,AAPL
2013-01-25,63.67142875,AAPL
2013-01-28,63.454642500000006,AAPL
2013-01-29,65.32464225000001,AAPL
2013-01-30,65.390358,AAPL
2013-01-31,65.2403585,AAPL
2013-02-01,65.02000025000001,AAPL
2013-02-04,64.0774995,AAPL
2013-02-05,64.423214,AAPL
2013-02-06,65.460716,AAPL
2013-02-07,66.2710725,AAPL
2013-02-08,67.71571525,AAPL
2013-02-11,68.37928575000001,AAPL
2013-02-12,67.7689285,AAPL
2013-02-13,66.82428575,AAPL
2013-02-14,66.67035874999999,AAPL
2013-02-15,66.39607225,AAPL
2013-02-19,65.63107275,AAPL
2013-02-20,64.75107175,AAPL
2013-02-21,63.716072,AAPL
2013-02-22,64.22357075000001,AAPL
2013-02-25,64.08357125,AAPL
2013-02-26,63.642500999999996,AAPL
2013-02-27,63.788928999999996,AAPL
2013-02-28,63.38285825,AAPL
2013-03-01,62.02250000000001,AAPL
2013-03-04,60.5374995,AAPL
2013-03-05,61.019999500000004,AAPL
2013-03-06,61.423213999999994,AAPL
2013-03-07,61.005357000000004,AAPL
2013-03-08,61.627143249999996,AAPL
2013-03-11,61.8489285,AAPL
2013-03-12,61.80285775,AAPL
2013-03-13,61.30928525000001,AAPL
2013-03-14,61.8007145,AAPL
2013-03-15,62.9667865,AAPL
2013-03-18,64.13678525,AAPL
2013-03-19,65.123571,AAPL
2013-03-20,64.88285625,AAPL
2013-03-21,64.67964375,AAPL
2013-03-22,65.41785775,AAPL
2013-03-25,66.428572,AAPL
2013-03-26,66.17678649999999,AAPL
2013-03-27,64.85964175,AAPL
2013-03-28,63.782857750000005,AAPL
2013-04-01,62.22321425,AAPL
2013-04-02,61.4974995,AAPL
2013-04-03,61.819643,AAPL
2013-04-04,61.49035675,AAPL
2013-04-05,60.4403565,AAPL
2013-04-08,60.75178525,AAPL
2013-04-09,60.878215,AAPL
2013-04-10,61.673570500000004,AAPL
2013-04-11,62.04428475,AAPL
2013-04-12,61.68535725,AAPL
2013-04-15,60.510358,AAPL
2013-04-16,60.5353575,AAPL
2013-04-17,58.634999,AAPL
2013-04-18,56.8774995,AAPL
2013-04-19,55.828571249999996,AAPL
2013-04-22,56.59928525,AAPL
2013-04-23,57.761071,AAPL
2013-04-24,57.38392900000001,AAPL
2013-04-25,58.59107125,AAPL
2013-04-26,59.0725,AAPL
2013-04-29,60.86392775,AAPL
2013-04-30,62.685713750000005,AAPL
2013-05-01,62.9667855,AAPL
2013-05-02,63.44714175,AAPL
2013-05-03,64.4167865,AAPL
2013-05-06,65.46178425000001,AAPL
2013-05-07,65.82428549999999,AAPL
2013-05-08,65.8592855,AAPL
2013-05-09,65.54142725,AAPL
2013-05-10,65.0403575,AAPL
2013-05-13,64.84464274999999,AAPL
2013-05-14,64.10928725,AAPL
2013-05-15,61.834643250000006,AAPL
2013-05-16,61.234642750000006,AAPL
2013-05-17,62.26464275,AAPL
2013-05-20,62.52642825000001,AAPL
2013-05-21,62.76749975,AAPL
2013-05-22,63.28464325,AAPL
2013-05-23,62.85857175,AAPL
2013-05-24,63.28642925,AAPL
2013-05-28,63.689286499999994,AAPL
